1682525635.013744 client started (2564): version 3.3a, socket /private/tmp/tmux-501/default, protocol 8
1682525635.013823 on Darwin 22.4.0 Darwin Kernel Version 22.4.0: Mon Mar  6 20:59:28 PST 2023; root:xnu-8796.101.5~3/RELEASE_ARM64_T6000
1682525635.014274 using libevent 2.1.12-stable (select); utf8proc 2.8.0; ncurses 6.3
1682525635.022047 sending message 112 to peer 0x130008000 (13 bytes)
1682525635.022052 sending message 112 to peer 0x130008000 (12 bytes)
1682525635.022066 sending message 112 to peer 0x130008000 (12 bytes)
1682525635.022071 sending message 112 to peer 0x130008000 (12 bytes)
1682525635.022076 sending message 112 to peer 0x130008000 (12 bytes)
1682525635.022091 sending message 112 to peer 0x130008000 (13 bytes)
1682525635.022108 sending message 112 to peer 0x130008000 (8 bytes)
1682525635.022124 sending message 112 to peer 0x130008000 (13 bytes)
1682525635.022142 sending message 112 to peer 0x130008000 (13 bytes)
1682525635.022160 sending message 112 to peer 0x130008000 (13 bytes)
1682525635.022169 sending message 112 to peer 0x130008000 (13 bytes)
1682525635.022182 sending message 112 to peer 0x130008000 (13 bytes)
1682525635.022197 sending message 112 to peer 0x130008000 (13 bytes)
1682525635.022215 sending message 112 to peer 0x130008000 (13 bytes)
1682525635.022222 sending message 112 to peer 0x130008000 (12 bytes)
1682525635.022236 sending message 112 to peer 0x130008000 (12 bytes)
1682525635.022249 sending message 112 to peer 0x130008000 (12 bytes)
1682525635.022261 sending message 112 to peer 0x130008000 (8 bytes)
1682525635.022273 sending message 112 to peer 0x130008000 (12 bytes)
1682525635.022288 sending message 112 to peer 0x130008000 (13 bytes)
1682525635.022391 sending message 112 to peer 0x130008000 (13 bytes)
1682525635.022411 sending message 112 to peer 0x130008000 (13 bytes)
1682525635.022425 sending message 112 to peer 0x130008000 (13 bytes)
1682525635.022439 sending message 112 to peer 0x130008000 (13 bytes)
1682525635.022455 sending message 112 to peer 0x130008000 (13 bytes)
1682525635.022468 sending message 112 to peer 0x130008000 (13 bytes)
1682525635.022481 sending message 112 to peer 0x130008000 (13 bytes)
1682525635.022496 sending message 112 to peer 0x130008000 (12 bytes)
1682525635.022511 sending message 112 to peer 0x130008000 (10 bytes)
1682525635.022528 sending message 112 to peer 0x130008000 (12 bytes)
1682525635.022536 sending message 112 to peer 0x130008000 (12 bytes)
1682525635.022549 sending message 112 to peer 0x130008000 (12 bytes)
1682525635.022564 sending message 112 to peer 0x130008000 (13 bytes)
1682525635.022578 sending message 112 to peer 0x130008000 (13 bytes)
1682525635.022593 sending message 112 to peer 0x130008000 (13 bytes)
1682525635.022610 sending message 112 to peer 0x130008000 (13 bytes)
1682525635.022636 sending message 112 to peer 0x130008000 (13 bytes)
1682525635.022649 sending message 112 to peer 0x130008000 (13 bytes)
1682525635.022662 sending message 112 to peer 0x130008000 (13 bytes)
1682525635.022676 sending message 112 to peer 0x130008000 (10 bytes)
1682525635.022689 sending message 112 to peer 0x130008000 (13 bytes)
1682525635.022703 sending message 112 to peer 0x130008000 (12 bytes)
1682525635.022716 sending message 112 to peer 0x130008000 (12 bytes)
1682525635.022731 sending message 112 to peer 0x130008000 (12 bytes)
1682525635.022747 sending message 112 to peer 0x130008000 (10 bytes)
1682525635.022764 sending message 112 to peer 0x130008000 (10 bytes)
1682525635.022789 sending message 112 to peer 0x130008000 (10 bytes)
1682525635.022803 sending message 112 to peer 0x130008000 (12 bytes)
1682525635.022808 sending message 112 to peer 0x130008000 (13 bytes)
1682525635.022813 sending message 112 to peer 0x130008000 (13 bytes)
1682525635.022827 sending message 112 to peer 0x130008000 (13 bytes)
1682525635.022834 sending message 112 to peer 0x130008000 (13 bytes)
1682525635.022847 sending message 112 to peer 0x130008000 (13 bytes)
1682525635.022861 sending message 112 to peer 0x130008000 (10 bytes)
1682525635.022874 sending message 112 to peer 0x130008000 (11 bytes)
1682525635.022887 sending message 112 to peer 0x130008000 (12 bytes)
1682525635.022901 sending message 112 to peer 0x130008000 (12 bytes)
1682525635.022917 sending message 112 to peer 0x130008000 (12 bytes)
1682525635.022932 sending message 112 to peer 0x130008000 (12 bytes)
1682525635.022947 sending message 112 to peer 0x130008000 (12 bytes)
1682525635.022964 sending message 112 to peer 0x130008000 (11 bytes)
1682525635.022982 sending message 112 to peer 0x130008000 (12 bytes)
1682525635.023000 sending message 112 to peer 0x130008000 (12 bytes)
1682525635.023019 sending message 112 to peer 0x130008000 (13 bytes)
1682525635.023041 sending message 112 to peer 0x130008000 (13 bytes)
1682525635.023061 sending message 112 to peer 0x130008000 (13 bytes)
1682525635.023070 sending message 112 to peer 0x130008000 (13 bytes)
1682525635.023083 sending message 112 to peer 0x130008000 (13 bytes)
1682525635.023096 sending message 112 to peer 0x130008000 (10 bytes)
1682525635.023112 sending message 112 to peer 0x130008000 (9 bytes)
1682525635.023126 sending message 112 to peer 0x130008000 (12 bytes)
1682525635.023141 sending message 112 to peer 0x130008000 (13 bytes)
1682525635.023159 sending message 112 to peer 0x130008000 (13 bytes)
1682525635.023174 sending message 112 to peer 0x130008000 (13 bytes)
1682525635.023191 sending message 112 to peer 0x130008000 (13 bytes)
1682525635.023197 sending message 112 to peer 0x130008000 (13 bytes)
1682525635.023210 sending message 112 to peer 0x130008000 (9 bytes)
1682525635.023214 sending message 112 to peer 0x130008000 (12 bytes)
1682525635.023219 sending message 112 to peer 0x130008000 (13 bytes)
1682525635.023232 sending message 112 to peer 0x130008000 (13 bytes)
1682525635.023264 sending message 112 to peer 0x130008000 (13 bytes)
1682525635.023276 sending message 112 to peer 0x130008000 (13 bytes)
1682525635.023288 sending message 112 to peer 0x130008000 (13 bytes)
1682525635.023301 sending message 112 to peer 0x130008000 (11 bytes)
1682525635.023316 sending message 112 to peer 0x130008000 (12 bytes)
1682525635.023332 sending message 112 to peer 0x130008000 (13 bytes)
1682525635.023345 sending message 112 to peer 0x130008000 (13 bytes)
1682525635.023358 sending message 112 to peer 0x130008000 (13 bytes)
1682525635.023370 sending message 112 to peer 0x130008000 (13 bytes)
1682525635.023383 sending message 112 to peer 0x130008000 (13 bytes)
1682525635.023396 sending message 112 to peer 0x130008000 (11 bytes)
1682525635.023411 sending message 112 to peer 0x130008000 (12 bytes)
1682525635.023422 sending message 112 to peer 0x130008000 (12 bytes)
1682525635.023435 sending message 112 to peer 0x130008000 (12 bytes)
1682525635.023446 sending message 112 to peer 0x130008000 (12 bytes)
1682525635.023455 sending message 112 to peer 0x130008000 (12 bytes)
1682525635.023469 sending message 112 to peer 0x130008000 (21 bytes)
1682525635.023491 sending message 112 to peer 0x130008000 (12 bytes)
1682525635.023506 sending message 112 to peer 0x130008000 (9 bytes)
1682525635.023518 sending message 112 to peer 0x130008000 (6 bytes)
1682525635.023531 sending message 112 to peer 0x130008000 (13 bytes)
1682525635.023543 sending message 112 to peer 0x130008000 (10 bytes)
1682525635.023556 sending message 112 to peer 0x130008000 (24 bytes)
1682525635.023568 sending message 112 to peer 0x130008000 (13 bytes)
1682525635.023582 sending message 112 to peer 0x130008000 (9 bytes)
1682525635.023586 sending message 112 to peer 0x130008000 (70 bytes)
1682525635.023603 sending message 112 to peer 0x130008000 (69 bytes)
1682525635.023619 sending message 112 to peer 0x130008000 (12 bytes)
1682525635.023637 sending message 112 to peer 0x130008000 (10 bytes)
1682525635.023652 sending message 112 to peer 0x130008000 (10 bytes)
1682525635.023666 sending message 112 to peer 0x130008000 (24 bytes)
1682525635.023681 sending message 112 to peer 0x130008000 (13 bytes)
1682525635.023695 sending message 112 to peer 0x130008000 (10 bytes)
1682525635.023709 sending message 112 to peer 0x130008000 (10 bytes)
1682525635.023724 sending message 112 to peer 0x130008000 (17 bytes)
1682525635.023738 sending message 112 to peer 0x130008000 (10 bytes)
1682525635.023752 sending message 112 to peer 0x130008000 (13 bytes)
1682525635.023766 sending message 112 to peer 0x130008000 (17 bytes)
1682525635.023781 sending message 112 to peer 0x130008000 (9 bytes)
1682525635.023795 sending message 112 to peer 0x130008000 (15 bytes)
1682525635.023809 sending message 112 to peer 0x130008000 (5 bytes)
1682525635.023825 sending message 104 to peer 0x130008000 (0 bytes)
1682525635.023850 sending message 110 to peer 0x130008000 (0 bytes)
1682525635.023863 sending message 107 to peer 0x130008000 (4 bytes)
1682525635.023876 sending message 105 to peer 0x130008000 (82 bytes)
1682525635.023892 sending message 105 to peer 0x130008000 (86 bytes)
1682525635.023907 sending message 105 to peer 0x130008000 (31 bytes)
1682525635.023921 sending message 105 to peer 0x130008000 (20 bytes)
1682525635.023933 sending message 105 to peer 0x130008000 (22 bytes)
1682525635.023950 sending message 105 to peer 0x130008000 (21 bytes)
1682525635.023958 sending message 105 to peer 0x130008000 (15 bytes)
1682525635.023970 sending message 105 to peer 0x130008000 (17 bytes)
1682525635.023983 sending message 105 to peer 0x130008000 (647 bytes)
1682525635.024005 sending message 105 to peer 0x130008000 (15 bytes)
1682525635.024019 sending message 105 to peer 0x130008000 (66 bytes)
1682525635.024033 sending message 105 to peer 0x130008000 (15 bytes)
1682525635.024047 sending message 105 to peer 0x130008000 (57 bytes)
1682525635.024071 sending message 105 to peer 0x130008000 (14 bytes)
1682525635.024085 sending message 105 to peer 0x130008000 (20 bytes)
1682525635.024141 sending message 105 to peer 0x130008000 (14 bytes)
1682525635.024160 sending message 105 to peer 0x130008000 (19 bytes)
1682525635.024178 sending message 105 to peer 0x130008000 (35 bytes)
1682525635.024193 sending message 105 to peer 0x130008000 (38 bytes)
1682525635.024205 sending message 105 to peer 0x130008000 (8 bytes)
1682525635.024217 sending message 105 to peer 0x130008000 (54 bytes)
1682525635.024230 sending message 105 to peer 0x130008000 (23 bytes)
1682525635.024242 sending message 105 to peer 0x130008000 (30 bytes)
1682525635.024255 sending message 105 to peer 0x130008000 (37 bytes)
1682525635.024259 sending message 105 to peer 0x130008000 (34 bytes)
1682525635.024277 sending message 105 to peer 0x130008000 (34 bytes)
1682525635.024283 sending message 105 to peer 0x130008000 (35 bytes)
1682525635.024296 sending message 105 to peer 0x130008000 (19 bytes)
1682525635.024309 sending message 105 to peer 0x130008000 (38 bytes)
1682525635.024322 sending message 105 to peer 0x130008000 (35 bytes)
1682525635.024330 sending message 105 to peer 0x130008000 (22 bytes)
1682525635.024342 sending message 105 to peer 0x130008000 (46 bytes)
1682525635.024355 sending message 105 to peer 0x130008000 (28 bytes)
1682525635.024368 sending message 105 to peer 0x130008000 (57 bytes)
1682525635.024383 sending message 105 to peer 0x130008000 (62 bytes)
1682525635.024396 sending message 105 to peer 0x130008000 (58 bytes)
1682525635.024410 sending message 105 to peer 0x130008000 (62 bytes)
